# Table from Clouard and Bonneville, GSA Spec Paper, 2005 (their table 2)
# 1/24/2007:	Modified Hawaii-Emperor data to account for Sharp & Clague, 2006, Science
#		Commented out Yuriyaku which is clearly too young.
#		Added Tokelau and Gilbert ages from Koppers and Staudigel, 2005, Science
# 1/28/2008:	Added updated values from Koppers et al, 2003 GGG, and Mahoney et al, 2005 for Shatsky
# 9/15/2008:	New prelim ages for Samoa from Koppers et al, 2008 [Now commented out]
# 6/14/2012:	New ages for Samoa from Koppers et al., 2011a
# 6/14/2012:	New ages for Louisville from Koppers et al., 2011b
#		Sites with more than one distinct ages are named NAME-A, NAME-B, with A youngest
# 9/22/2013:	New ages for Hawaii from O'Connor et al., 2013
#
#Lon	Lat	Average_age(Ma)	Average_error(Ma)	Tag	Name(island,seamount,plateau_or_sample)	Island_or_seamount_chain
#-------------------------------AUSTRAL---------------------------------
219.80	-29.00	0.001	0	Macdonald		AC	Austral
218.88	-28.76	29.2	0.6	Ra			AC	Austral
219.78	-28.53	25.6	1.0	Make			AC	Austral
218.78	-28.12	31.3	0.7	Aureka			AC	Austral
220.58	-27.68	26.0	1.2	Evelyn			AC	Austral
220.0	-27.48	22.5	1.5	Herema			AC	Austral
216.5	-27.9	3.8	0.2	Marotiri-A		AC	Austral
216.5	-27.9	32.0	0.8	Marotiri-B		AC	Austral
216.85	-27.03	33.9	0.6	Opu			AC	Austral
208.70	-22.45	1.1	0.01	Rurutu-A		AC	Austral
208.70	-22.45	10.5	0.1	Rurutu-B		AC	Austral
212.30	-23.90	6.3	0.11	Raivavae-A		AC	Austral
212.30	-23.90	32.7	0.5	Raivavae-B		AC	Austral
215.70	-27.60	4.55	0.06	Rapa			AC	Austral
213.83	-27.02	39.5	0.6	Neilson_Bank		AC	Austral
211.07	-26.4	8.8	0.1	ZEP2-19			AC	Austral
213.7	-25.83	28.0	0.4	ZEP2-26			AC	Austral
210.50	-23.40	9.1	0.1	Tubuai			AC	Austral
209.26	-23.43	0.2	0.004	Arago-A			AC	Austral
209.26	-23.43	8.2	0.7	Arago-B			AC	Austral
208.96	-22.56	54.8	0.8	Lotus_Bank		AC	Austral
206.89	-22.48	2.6	0.1	ZEP2-12			AC	Austral
208.47	-22.34	12.2	0.2	ZEP2-7			AC	Austral
209.76	-20.72	58.1	0.8	ZEP2-1			AC	Austral
#-------------------------------CAROLINE--------------------------------
163.00	5.30	1.4	0.1	Kusaie_(East)		CR	Caroline
158.20	7.00	5.2	0.1	Ponape_(North)		CR	Caroline
#151.70	7.40	4.71	0.12	Truk_(Ulalu)		CR	Caroline
#151.70	7.40	9.90	0.24	Truk_(Tol)		CR	Caroline
151.70	7.40	12.39	0.26	Truk_(Dublon)		CR	Caroline
151.70	7.40	13.9	0.3	Truk_(Fefan)		CR	Caroline
#-------------------------------COBB------------------------------------
228.97	48.96	0.26	0.26	Explorer		CB	Cobb
228.55	47.14	1.55	1.40	Gluttony		CB	Cobb
231.37	46.03	3.19	1.30	Thompson		CB	Cobb
229.17	46.75	3.27	0.30	Cobb			CB	Cobb
228.50	47.50	4.40	1.00	Lust			CB	Cobb
228.3	47.62	5.20	0.32	Sloth			CB	Cobb
227.27	49.55	5.78	0.65	Union			CB	Cobb
227.55	48.03	7.02	0.13	Warwick			CB	Cobb
226.78	48.28	7.73	0.30	unnamed			CB	Cobb
216.70	50.90	23.17	0.09	Pathfinder		CB	Cobb
211.50	53.90	27.41	0.17	Murray			CB	Cobb
#215.60	53.50	7.77	0.13	Miller-A		CB	Cobb
215.60	53.50	26.42	1.15	Miller-B		CB	Cobb
209.70	54.60	29.26	1.00	Patton			CB	Cobb
217.40	50.30	20.75	1.05	Horton			CB	Cobb
226.90	48.30	8.35	0.27	Eikelberg		CB	Cobb
#-------------------------------COOK------------------------------------
200.20	-21.20	1.37	0.01	Rarotonga		AC	Cook
201.90	-20.00	8.14	0.13	Atiu			AC	Cook
202.65	-20.12	5.40	0.05	Mauke			AC	Cook
200.25	-18.90	0.96	0.01	Aitutaki-A		AC	Cook
200.25	-18.90	8.36	0.27	Aitutaki-B		AC	Cook
202.30	-19.90	12.30	0.40	Mitiaro			AC	Cook
202.10	-21.90	19.35	0.3	Mangaia			AC	Cook
#-------------------------------EASTER----------------------------------
250.70	-27.00	0.13	0.02	Easter			TO	Easter_Chain
250.34	-27.10	0.22	0.22	Moai			TO	Easter_Chain
249.00	-26.90	3.0	1.1	Umu			TO	Easter_Chain
249.70	-26.40	0.25	0.98	Pukoa			TO	Easter_Chain
254.70	-26.30	1.70	0	Salas-y-Gomez		TO	Easter_Chain
262.44	-25.09	7.85	0	GS7202-70		TO	Easter_Chain
275.39	-25.93	30.0	0	GS7202-100		TO	Easter_Chain
238.00	-25.00	8.22	0.19	Crough			TO	Easter_Chain
277.60	-25.65	21.6	1.1	SO80-12DS		TO	Easter_Chain
271.70	-24.90	14.9	0.30	SO80-17DS		TO	Easter_Chain
266.80	-25.70	11.7	0.3	SO80-18DS		TO	Easter_Chain
277.00	-23.30	25.6	1.60	SO80-14DS		TO	Easter_Chain
#-------------------------------FOUNDATION------------------------------
229.24	-32.94	21.20	0.10	SO100-11DS		FD	Foundation
232.5	-32.51	18.20	0.20	FHDR1-3			FD	Foundation
234	-32.48	16.30	0.20	SO100-18DS		FD	Foundation
235.09	-33.69	8.80	0.10	SO100-28GTV		FD	Foundation
235.89	-33.53	12.90	0.30	SO100-26DS		FD	Foundation
237.63	-34.12	12.50	0.10	SO100-33DS		FD	Foundation
238.02	-34.32	11.60	0.10	SO100-38DS		FD	Foundation
238.45	-34.87	11.60	0.10	SO100-41DS		FD	Foundation
239.28	-35.05	13.40	0.10	SO100-45DS		FD	Foundation
239.59	-34.96	10.40	0.10	SO100-46DS		FD	Foundation
240.89	-35.56	9.40	0.10	SO100-50DS		FD	Foundation
241.45	-35.12	8.40	0.10	SO100-54DS		FD	Foundation
241.91	-35.38	7.70	0.03	SO100-56DS		FD	Foundation
242.56	-35.8	7.70	0.10	SO100-63DS		FD	Foundation
242.8	-35.45	7.60	0.50	SO100-60DS		FD	Foundation
243.35	-35.45	7.20	0.10	SO100-59DS		FD	Foundation
244.01	-36.03	6.20	0.10	SO100-67DS		FD	Foundation
244.34	-35.79	4.70	0.10	SO100-66DS		FD	Foundation
244.72	-36.56	5.10	0.40	SO100-69DS		FD	Foundation
246.07	-36.35	3.70	0.10	SO100-70DS		FD	Foundation
246.53	-36.68	2.10	0.10	SO100-71DS		FD	Foundation
#-------------------------------GEOLOGIST-------------------------------
197.70	19.30	0.70	0.05	SEAMOUNT_14		GE	Geologist
198.30	18.30	87.30	1.95	SEAMOUNT_9		GE	Geologist
201.75	18.75	80.98	1.78	SEAMOUNT_7		GE	Geologist
201.60	23.30	80.50	1.60	Kaluakalana		GE	Geologist
202.80	18.80	82.70	0.50	McCall			GE	Geologist
202.00	18.80	84.60	3.80	Cross			GE	Geologist
#-------------------------------HAWAII-EMPEROR--------------------------
204.74	18.93	0.001	0.001	Loihi			HI	Hawaii-Emperor
204.74	18.93	0.001	0.001	Kilauea			HI	Hawaii-Emperor
204.50	19.75	0.38	0.05	Mauna_Kea		HI	Hawaii-Emperor
204.25	20.10	0.43	0.02	Kohala			HI	Hawaii-Emperor
203.80	20.60	0.75	0.04	Haleakala		HI	Hawaii-Emperor
203.00	20.80	1.28	0.04	Lanai			HI	Hawaii-Emperor
203.40	20.50	1.02	0.18	Kahoolawe		HI	Hawaii-Emperor
204.00	20.80	1.32	0.04	West_Maui		HI	Hawaii-Emperor
203.30	21.20	1.83	0.07	Molokai			HI	Hawaii-Emperor
202.20	21.40	2.60	0.10	Oahu			HI	Hawaii-Emperor
200.50	22.00	5.10	0.20	Kauai			HI	Hawaii-Emperor
198.00	23.00	7.20	0.30	Nihoa			HI	Hawaii-Emperor
195.50	23.50	10.30	0.40	Necker			HI	Hawaii-Emperor
193.70	23.60	12.00	0.40	La_Perouse_Pinnacle	HI	Hawaii-Emperor
188.00	25.70	19.90	0.30	Laysan			HI	Hawaii-Emperor
#184.10	27.90	20.60	0.50	Pearl_and_Hermes_reef	HI	Hawaii-Emperor [outlier now given O'Connor data]
# O'Connor 2013 Pearl and Hermes reef [3]:
183.86	27.77	24.7	0.3	Pearl_and_Hermes_reef	HI	Hawaii-Emperor
183.86	27.77	24.5	0.8	Pearl_and_Hermes_reef	HI	Hawaii-Emperor
183.86	27.77	24.6	0.5	Pearl_and_Hermes_reef	HI	Hawaii-Emperor
188.00	25.30	26.60	2.70	Northampton_Bank	HI	Hawaii-Emperor
182.70	28.30	27.70	0.60	Midway			HI	Hawaii-Emperor
# O'Connor 2013 Midway [2]:
182.49	28.06	27.6	0.9	Midway			HI	Hawaii-Emperor
182.49	28.06	27.5	1.2	Midway			HI	Hawaii-Emperor
# O'Connor 2013 Smt #63 [2]:
181.50	28.88	29.3	0.6	Smt_63			HI	Hawaii-Emperor
181.50	28.88	29.3	0.7	Smt_63			HI	Hawaii-Emperor
# O'Connor 2013 Helsley [2]:
180.31	28.93	31.7	1.0	Helsley			HI	Hawaii-Emperor
180.31	28.93	32.0	1.0	Helsley			HI	Hawaii-Emperor
181.50	28.817	31.0	0.20	unnamed			HI	Hawaii-Emperor
175.90	30.90	38.70	0.20	Colahan			HI	Hawaii-Emperor
174.30	31.80	41.50	0.30	Abbott			HI	Hawaii-Emperor
# O'Connor 2013 Abbott [3]:
174.26	31.81	41.4	0.7	Abbott			HI	Hawaii-Emperor
174.26	31.81	41.4	0.5	Abbott			HI	Hawaii-Emperor
174.26	31.81	41.3	0.9	Abbott			HI	Hawaii-Emperor
171.60	33.70	47.9	0.20	Kimmei			HI	Hawaii-Emperor
172.30	32.10	46.7	0.1	Daikakuji		HI	Hawaii-Emperor
172.00	32.70	43.40	1.60	Yuryaku			HI	Hawaii-Emperor
# O'Connor 2013 Yuryaku [9] (not listing the young ~31 Ma ages due to a separate process):
172.19	32.57	43.20	0.7	Yuryaku			HI	Hawaii-Emperor
172.19	32.57	42.70	1.4	Yuryaku			HI	Hawaii-Emperor
172.19	32.57	43.10	0.9	Yuryaku			HI	Hawaii-Emperor
172.19	32.57	45.00	0.4	Yuryaku			HI	Hawaii-Emperor
