time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-09-08T04:49:21.410Z,15.0678,-93.715,69.65,8.1,mww,,32,18.084,1.19,us,us2000ahv0,2017-09-30T06:12:06.647Z,"87km SW of Pijijiapan, Mexico",earthquake,9.5,4.2,0.068,21,reviewed,us,us
2017-09-19T18:14:38.420Z,18.5539,-98.4952,51,7.1,mww,,23,0.988,1.14,us,us2000ar20,2017-09-30T16:24:02.607Z,"0km NE of Ayutla, Mexico",earthquake,6.6,1.8,0.048,41,reviewed,us,us
2017-09-20T20:09:49.810Z,-18.7978,169.0947,200.19,6.4,mww,,20,2.631,1,us,us2000as2f,2017-09-22T16:21:28.040Z,"85km NNW of Isangel, Vanuatu",earthquake,7.6,5.4,0.051,37,reviewed,us,us
2017-09-26T04:20:00.760Z,-23.7135,-176.9366,98.07,6.4,mww,,22,5.58,1.13,us,us2000autd,2017-09-26T16:50:03.040Z,"South of the Fiji Islands",earthquake,7.3,6.1,0.073,18,reviewed,us,us
2017-09-03T03:30:01.770Z,41.3343,129.0307,0,6.3,mb,,10,3.307,0.85,us,us2000aert,2017-09-23T20:53:41.849Z,"21km ENE of Sungjibaegam, North Korea",explosion,5.5,1.6,0.02,944,reviewed,us,us
2017-09-07T17:26:49.070Z,27.7643,139.8112,448.25,6.1,mww,,20,2.212,1.1,us,us2000ahlq,2017-09-10T20:57:17.565Z,"249km WNW of Chichi-shima, Japan",earthquake,8.9,4.7,0.052,36,reviewed,us,us
2017-09-20T01:43:30.060Z,-50.371,162.5497,10,6.1,mww,,88,8.452,0.77,us,us2000arel,2017-09-22T10:47:46.073Z,"256km W of Auckland Island, New Zealand",earthquake,10.6,1.9,0.073,18,reviewed,us,us
2017-09-20T16:37:16.230Z,37.9816,144.6693,10,6.1,mww,,33,3.069,0.86,us,us2000arxv,2017-09-26T21:37:35.403Z,"281km ESE of Kamaishi, Japan",earthquake,7.4,1.8,0.063,24,reviewed,us,us
2017-09-23T12:53:02.180Z,16.7475,-94.9453,9.08,6.1,mww,,37,3.602,0.93,us,us2000atjv,2017-09-26T15:04:46.341Z,"17km SSE of Matias Romero, Mexico",earthquake,7.5,2.8,0.042,55,reviewed,us,us
2017-09-04T08:07:35.380Z,-57.7886,-25.5783,35,6,mww,,64,7.047,0.76,us,us2000afh9,2017-09-08T18:37:03.101Z,"149km NNE of Bristol Island, South Sandwich Islands",earthquake,9,1.9,0.071,19,reviewed,us,us
2017-09-10T21:40:21.210Z,57.1272,-33.6765,10,5.9,mww,,28,7.263,1,us,us2000ajpe,2017-09-11T23:03:21.040Z,"Reykjanes Ridge",earthquake,8.1,1.8,0.059,28,reviewed,us,us
2017-09-20T22:13:36.140Z,-5.11,147.8337,10,5.9,mww,,32,3.081,0.68,us,us2000as5x,2017-09-22T16:26:35.040Z,"165km N of Finschhafen, Papua New Guinea",earthquake,7.2,1.7,0.065,23,reviewed,us,us
2017-09-25T20:29:23.480Z,-6.2113,152.7133,5.98,5.9,mww,,26,2.08,0.91,us,us2000aulg,2017-09-26T17:00:26.040Z,"196km S of Taron, Papua New Guinea",earthquake,7.5,3.3,0.061,26,reviewed,us,us
2017-09-14T17:41:28.670Z,18.6699,145.732,173.3,5.8,mww,,27,5.119,1.22,us,us2000amk5,2017-09-18T02:16:31.040Z,"12km SSE of Agrihan, Northern Mariana Islands",earthquake,8.2,5.3,0.068,21,reviewed,us,us
2017-09-18T13:46:56.590Z,-31.82,-72.147,10,5.8,mww,,44,1.156,0.85,us,us2000apwd,2017-09-27T01:53:28.934Z,"95km WSW of Illapel, Chile",earthquake,5.1,1.8,0.066,22,reviewed,us,us
2017-09-23T10:38:08.980Z,15.6979,-94.1625,74.22,5.8,mww,,178,2.592,1.06,us,us2000atis,2017-09-24T01:38:32.073Z,"48km SW of Paredon, Mexico",earthquake,10.3,10,0.049,40,reviewed,us,us
2017-09-26T20:22:11.560Z,40.3206,142.4059,36.04,5.8,mww,,15,1.124,0.74,us,us2000av31,2017-09-28T22:23:24.642Z,"79km ESE of Hachinohe, Japan",earthquake,6.1,3.2,0.065,23,reviewed,us,us
2017-09-01T11:07:37.140Z,57.0486,-34.026,10,5.7,mww,,38,7.165,1.07,us,us2000adtb,2017-09-08T18:31:21.366Z,"Reykjanes Ridge",earthquake,8.3,1.8,0.071,19,reviewed,us,us
2017-09-08T05:01:33.080Z,15.1703,-94.2736,36.34,5.7,mb,,145,2.574,0.99,us,us2000ahv7,2017-09-23T13:30:04.139Z,"104km SSW of Paredon, Mexico",earthquake,8.8,10.8,0.106,32,reviewed,us,us
2017-09-10T03:07:26.100Z,15.475,-94.3491,53.01,5.7,mww,,140,2.733,0.98,us,us2000aj51,2017-09-14T23:53:38.947Z,"80km SW of Paredon, Mexico",earthquake,7.5,6,0.068,21,reviewed,us,us
2017-09-11T17:35:09.620Z,23.9529,142.3373,35,5.7,mww,,19,3.132,1.1,us,us2000ak7u,2017-09-16T22:06:35.573Z,"137km SE of Iwo Jima, Japan",earthquake,7.2,1.9,0.063,24,reviewed,us,us
2017-09-17T14:26:08.120Z,-6.3184,148.8568,21.57,5.7,mww,,20,3.912,1.16,us,us2000apif,2017-09-19T16:20:37.040Z,"77km W of Kandrian, Papua New Guinea",earthquake,7.2,3.6,0.071,19,reviewed,us,us
2017-09-18T05:28:03.490Z,-18.5262,-12.7162,10,5.7,mb,,39,7.132,0.88,us,us2000apru,2017-09-21T17:52:13.483Z,"Southern Mid-Atlantic Ridge",earthquake,10.2,1.8,0.034,311,reviewed,us,us
2017-09-20T23:59:24.840Z,-6.141,113.0028,588.64,5.7,mww,,53,2.579,1.03,us,us2000as7r,2017-09-26T15:43:39.573Z,"98km NNE of Kemeduran, Indonesia",earthquake,8.2,5.1,0.062,25,reviewed,us,us
2017-09-22T19:50:15.030Z,40.4144,-126.8342,11.01,5.7,mww,,63,1.906,0.92,us,us2000atbf,2017-09-25T19:33:17.079Z,"218km W of Ferndale, California",earthquake,4.1,3.1,0.044,50,reviewed,us,us
2017-09-23T20:47:08.760Z,7.6285,124.8736,31.39,5.7,mww,,89,0.893,1.03,us,us2000atpb,2017-09-25T17:13:09.398Z,"4km NW of Kadingilan, Philippines",earthquake,5.9,4.9,0.071,19,reviewed,us,us
2017-09-24T10:06:12.980Z,15.4013,-94.0148,60.06,5.7,mww,,79,4.608,0.97,us,us2000atwe,2017-09-26T17:27:11.040Z,"71km SSW of Paredon, Mexico",earthquake,8.2,3.7,0.065,23,reviewed,us,us
2017-09-18T14:19:12.870Z,15.2537,-94.5576,10,5.6,mww,,41,5.097,1.04,us,us2000apx5,2017-09-19T18:56:32.622Z,"108km S of San Francisco del Mar, Mexico",earthquake,8.4,1.7,0.073,18,reviewed,us,us
2017-09-29T04:00:22.320Z,14.9039,-94.0465,21.66,5.6,mb,,88,2.306,0.86,us,us2000awcv,2017-09-29T19:33:43.040Z,"119km SSW of Tres Picos, Mexico",earthquake,8.1,4.5,0.022,752,reviewed,us,us
2017-09-02T23:00:01.800Z,14.0158,146.5948,11,5.5,mww,,21,1.73,0.79,us,us2000aek2,2017-09-24T04:03:48.605Z,"148km SE of JP Tinian Town pre-WW2, Northern Mariana Islands",earthquake,8.3,1.7,0.071,19,reviewed,us,us
2017-09-05T02:50:00.680Z,-16.2377,167.9942,172.92,5.5,mww,,37,4.571,0.96,us,us2000aful,2017-09-08T18:39:51.369Z,"63km ESE of Lakatoro, Vanuatu",earthquake,7.8,7.5,0.069,20,reviewed,us,us
2017-09-09T04:54:52.270Z,15.089,-93.9389,29,5.5,mww,,66,2.241,1.07,us,us2000ailq,2017-09-28T23:13:15.115Z,"96km SSW of Tres Picos, Mexico",earthquake,6.1,1.7,0.063,24,reviewed,us,us
2017-09-11T21:09:10.170Z,14.8622,-93.9406,27,5.5,mww,,69,2.199,1.42,us,us2000akcq,2017-09-22T02:56:03.606Z,"119km SSW of Tres Picos, Mexico",earthquake,5.3,1.8,0.066,22,reviewed,us,us
2017-09-15T18:48:02.460Z,-55.4644,-28.3292,9,5.5,mww,,32,4.858,0.97,us,us2000anjp,2017-09-16T15:36:47.062Z,"154km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,6.2,1.7,0.075,17,reviewed,us,us
2017-09-19T07:53:13.680Z,15.1162,-94.057,16.18,5.5,mww,,69,2.474,1.18,us,us2000aqji,2017-09-26T05:55:01.711Z,"100km SW of Tres Picos, Mexico",earthquake,8.6,3.7,0.066,22,reviewed,us,us
2017-09-22T05:33:44.310Z,23.5614,-108.7724,10,5.5,mww,,93,1.082,0.78,us,us2000at0m,2017-09-23T12:38:35.145Z,"109km ENE of San Jose del Cabo, Mexico",earthquake,4.8,1.7,0.059,28,reviewed,us,us
2017-09-30T06:14:36.970Z,32.3196,105.0015,10,5.5,mb,,19,12.003,0.71,us,us2000ax3v,2017-09-30T18:38:48.328Z,"3km WSW of Magong, China",earthquake,8,1.8,0.04,215,reviewed,us,us
2017-09-30T23:15:29.570Z,3.9405,128.5426,10,5.5,mww,,36,3.359,0.86,us,us2000axas,2017-09-30T23:37:06.672Z,"251km NNE of Tobelo, Indonesia",earthquake,7.3,1.8,0.073,18,reviewed,us,us
2017-09-01T07:42:45.010Z,10.113,-85.5035,27.75,5.4,mww,,136,0.035,0.94,us,us2000ads0,2017-09-21T13:08:05.259Z,"6km SW of Nicoya, Costa Rica",earthquake,5,5,0.068,21,reviewed,us,us
